id,title,author,available,isbn13,price,format,publisher,pubdate,subjects,pages,overview
352,Don't Squat With Yer Spurs On!: A Cowboy's Guide to Life,Texas Bix Bender,1,9780879054700,$7.99,Paperback,"Smith, Gibbs Publisher",October 2000,"Fiction, Humorous",,
353,Love and Marriage in Early African America,Frances Smith Foster,1,9781555536770,$4.15,Paperback,Northeastern University Press,December 2007,"Marriage, Peoples & Cultures - American Anthologies, Family - Literary Anthologies, Literature Anthologies - General & Miscellaneous",360,"Love and Marriage in Early African America brings together a remarkable range of folk sayings, rhymes, songs, poems, letters, lectures, sermons, short stories, memoirs, and autobiographies. Spanning over 100 years, from the slave era to the New Negro Movement, this extraordinary collection contradicts or nuances established notions that slavery fractured families, devalued sexual morality, distorted gender roles, and set in motion forces that now produce dismal and dangerous domestic situations. A culmination of twenty years of diligent research by noted scholar Frances Smith Foster, this anthology features selections on love and courtship, marriage, marriage rituals, and family. A compelling introduction places the primary texts in their social and literary context. A bibliography offers suggestions for further reading.
 This volume includes materials by well known writers such as Frances E. W. Harper, Charles Chesnutt, and Alice Dunbar Nelson, but the majority of works are previously unknown or difficult-to-access materials. Many provide startling contrasts to representations in canonical literature. For example, ""Patrick Brown's First Love"" is a radical alternative to Frederick Douglass's ""The Heroic Slave,"" and Thomas Detter's ""The Octoroon"" replaces the traditionally tragic mulatto trope with a female protagonist who shocks and awes. Love and Marriage in Early African America also changes our ideas about the relationship between religion and politics in early African America by featuring texts from the Afro-Protestant press; that is, the publishing organizations, writers, and reading groups under the direct auspices of, or publicly associated with, Afro-Protestant churches.</p>"
354,"Twenty One-Acts from the Twenty Years at the Humana Festival, 1975-1995",Michele Volansky,1,9781880399989,$16.53,Paperback,"Smith & Kraus, Inc.",December 1995,"Drama Anthologies, American Drama, American Literature Anthologies",416,Selected from the first twenty years of the Humana Festival of New American Plays...
355,American Austen: The Forgotten Writing of Agnes Repplier,Agnes Repplier,1,9781933859866,$24.00,Hardcover,ISI Books,May 2009,American Literature Anthologies,450,"In a review of John Lukacs's 1981 book <i>Philadelphia: Patricians and Philistines</i>, the <i>New York Times</i> praised the iconoclastic historian for excavating the work of the ""elegant essayist"" Agnes Repplier, ""the Jane Austen of the essay."" Now, in <i>American Austen</i>, Lukacs has compiled a definitive and delightful reader of the best writing of this most unjustly forgotten prose stylist and commonsense philosopher.
 In these pages, Repplier (1855-1950) emerges as perhaps the wittiest female author in the history of American letters—Dorothy Parker not excepted. Lukacs has gleaned from Repplier's work the finest essays on her hometown of Philadelphia; excerpts from her biographies of figures such as Junipero Serra; insightful reflections on Puritanism, the suburbs, and writers from Horace to Thackeray; and various other pieces brimming with Repplier's characteristically pungent commentary on American life. Agnes Repplier's engaging style, good-natured skepticism, and realistic appreciation of the genuine accomplishments of Western civilization should win for her a new and appreciative audience in the twenty-first century.</p>"
356,American Gothic: An Anthology 1787-1916 (Blackwell Anthologies Series),Crow,1,9780631206521,$61.43,Paperback,"Wiley, John & Sons, Incorporated",June 1999,"American & Canadian Literature, American Literature Anthologies, General & Miscellaneous Literature Anthologies, General & Miscellaneous Literary Criticism, Unexplained Phenomena, Literary Movements",496,"This collection brings together, and sets into dialogue, Gothic works by a number of authors, men and women, black and white, which illuminate many of the deepest concerns and fears of nineteenth-century America.. ""Among the themes in this conversation are the horror at illness and bodily decay, in an age with many incurable infectious diseases: the mutual mistrust of men and women, as gender roles shifted radically; the relationship of humans and machines: the horror that may lurk within outwardly normal families: and inescapably, the tragedy of race relations in America.. ""The collection contains short stories, novellas, and poems by some of America's best-known authors (Cooper, Hawthorne, Melville, Dickinson, Mark Twain), and others who are obscure or recently rediscovered, e.g. John Neal, Henry Clay Lewis, Alice Cary, Lafcadio Hearn. Writers long associated with the uncanny or supernatural appear, such as Charles Brockden Brown, Edgar Allan Poe, and Ambrose Bierce, as well as authors not usually placed within this tradition (Stephen Crane, Sarah Orne Jewett, and Frank Norris, for example). There is a strong representation of female Gothic, and African-American writers such as Charles Chesnutt brilliantly anticipate the Gothic fiction of race in our own time."
357,The Best American Poetry 2009,David Wagoner,1,9780743299763,$35.00,Hardcover,Simon & Schuster Adult Publishing Group,September 2009,"Poetry, Anthologies (multiple authors)",,
358,Bold Words: A Century of Asian American Writing,Rajini Srikanth,1,9780813529660,$27.37,Paperback,Rutgers University Press,January 2001,"American Literature Anthologies, United States Studies, Asians & Asian Americans - Biography, Ethnic & Minority Studies - United States, Asian American Studies",480,"A century of Asian American writing has generated a forceful cascade of ""bold words."" This anthology covers writings by Asian Americans in all genres, from the early twentieth century to the present. Some sixty authors of Chinese, Filipino, Japanese, Korean, South Asian, and Southeast Asian American origin are represented, with an equal split between male and female writers. The collection is divided into four sections-memoir, fiction, poetry, and drama-prefaced by an introductory essay from a well-known practitioner of that genre: Meena Alexander on memoir, Gary Pak on fiction, Eileen Tabios on poetry, and Roberta Uno on drama. 
 The selections depict the complex realities and wide range of experiences of Asians in the United States. They illuminate the writers' creative responses to issues as diverse as resistance, aesthetics, biculturalism, sexuality, gender relations, racism, war, diaspora, and family.</p>
 Rajini Srikanth teaches at the University of Massachusetts, Boston. She is the coeditor of the award-winning anthology Contours of the Heart: South Asians Map North America and the collection A Part, Yet Apart: South Asians in Asian America. Esther Y. Iwanaga teaches Asian American literature and literature-based writing courses at Wellesley College and the University of Massachusetts, Boston.</p>"
359,Another Way to Dance: Contemporqary Asian Poetry from Canada and the United States,Cyril Dabydeen,1,9780920661598,$19.95,Paperback,T S A R Publications,January 1996,"Poetry, American Literature Anthologies, Anthologies",272," This anthology includes selected works of some of the most active and dynamic contemporary poets writing in North America. Reflecting to varying degrees sensibilities based on ancestral Asian homelands and on lives in Canada and the United States, the poetry reproduced here is of a wide-ranging appeal and refreshing modernity, depicting a shifting, kaleidoscopic landscape of cultural and spiritual heterogeneity and individual interpretations.</p>
 Including poetry by:<br>
 Meena Alexander, Agha Shahid Ali, Himani Bannerji, Mei-Mei Berssenbrugge, Sadhu Binning, Marilyn Chin, Madeline Coopsammy, Rienzi Crusz, Cyril Dabydeen, Chitra Banerjee Divakaruni, Ramabai Espinet, Lakshmi Gill, Kimiko Hahn, Garrett Hongo, Kevin Irie, Sally Ito, May Seung Jew, Surjeet Kalsey, Joy Kogawa, Mina Kumar, Carolyn Lei-Lanilau, Wing Tek Lum, Bhargavi Mandava, David Mura, Suniti Namjoshi, Michael Ondaatje, S Padmanab, Uma Parameswaran, Sasenarine Persaud, Ian Iqbal Rashid, Carol Roh-Spaulding, Gerry Shikatani, Cathy Song, Krisantha Sri Bhaggiyadatta, Suwanda Sugunasiri, Arthur Sze, Nguyen Chi Thien, Asoka Weerasinghe, Rita Wong, Jim Wong-Chu</p>"
360,The Best American Poetry 2003,Yusef Komunyakaa,1,9780743203883,$15.05,Paperback,Simon & Schuster Adult Publishing Group,August 2003,"Poetry Anthologies, American Poetry, American Literature Anthologies",256," ""Poetry encourages us to have dialogue through the observed, the felt, and the imaginary,"" writes editor Yusef Komunyakaa in his thought-provoking introduction to <i>The Best American Poetry 2003.</i> As a black child of the American South and a decorated veteran of the Vietnam War, Komunyakaa brings his singular vision to this outstanding volume. Included here is a diverse mix of senior masters, crowd-pleasing bards, rising stars, and the fresh voices of an emerging generation. With comments from the poets elucidating their work and series editor David Lehman's eloquent foreword assessing the state of the art, The Best American Poetry 2003 is a must-have for readers of contemporary poetry.</p>
  Jonathan Aaron  Beth Anderson  Nin Andrews  Wendell Berry  Frank Bidart  Diann Blakely  Bruce Bond  Catherine Bowman  Rosemary Catacalos  Joshua Clover  Billy Collins  Michael S. Collins  Carl Dennis  Susan Dickman  Rita Dove  Stephen Dunn  Stuart Dybek  Charles Fort  James Galvin  Amy Gerstler  Louise Glück  Michael Goldman  Ray Gonzalez  Linda Gregg  Mark Halliday  Michael S. Harper  Matthea Harvey  George Higgins  Edward Hirsch  Tony Hoagland  Richard Howard  Rodney Jones  Joy Katz  Brigit Pegeen Kelly  Galway Kinnell  Carolyn Kizer  Jennifer L. Knox  Kenneth Koch  John Koethe  Ted Kooser  Philip Levine  J. D. McClatchy  W. S. Merwin  Heather Moss  Stanley Moss  Paul Muldoon  Peggy Munson  Marilyn Nelson  Daniel Nester  Naomi Shihab Nye  Ishle Yi Park  Robert Pinsky  Kevin Prufer  Ed Roberson  Vijay Seshadri  Alan Shapiro  Myra Shapiro  Bruce Smith  Charlie Smith  Maura Stanton  Ruth Stone  James Tate  William Tremblay  Natasha Trethewey  David Wagoner  Ronald Wallace  Lewis Warsh  Susan Wheeler  Richard Wilbur  C. K. Williams  Terence Winch  David Wojahn Robert Wrigley  Anna Ziegler  Ahmos Zu-Bolton II</p>"
361,Plays and Playwrights 2002,Martin Denton,1,9780967023434,$15.00,Paperback,"New York Theatre Experience, Incorporated, The",January 2002,"Drama Anthologies, American Drama, American Literature Anthologies",350,
362,"Why Freedom Matters: The Spirit of the Declaration of Independence in Prose, Poetry, and Song from 1776 to the Present",Daniel Katz,0,9780761131656,$14.35,Paperback,"Workman Publishing Company, Inc.",September 2003,"American Poetry, U.S. Politics & Government - 1607 - 1811, Scores & Songbooks - General & Miscellaneous, American Revolution - Politics & Government, United States History - General & Miscellaneous, American Literature Anthologies, U.S. Politics & Governm",400,"<br>
Freedom. It's an idea worth pledging a life for, in the words of Thomas Jefferson. A gift outright to the poet Robert Frost. A difficult responsibility, writes Frederick Douglass. Defiant and enduring, for Maya Angelou. Quarrelsome, to Kurt Vonnegut. Open-armed and welcoming-Emma Lazarus.
 Why Freedom Matters celebrates freedom in over 100 speeches, letters, essays, poems, and songs, all infused with the spirit of democracy. Here are the voices of presidents and slaves, founding fathers and hip-hop artists, suffragettes, civil rights workers, preachers, labor leaders, and baseball players. Inspired by the Declaration of Independence, the book is published in conjunction with The Declaration of Independence Road Trip, a 31/2-year cross-country educational tour of an extremely rare, original hand-printed copy of the Declaration, bought at auction by Norman Lear. The DOI Road Trip's mission is to energize Americans by bringing our founding document to towns small and large across the country; in 2003, for example, the Declaration and its accompanying exhibit will visit 27 cities from Birmingham to Billings, New Orleans to New York. Like the document itself, this compelling anthology reveals America's soul as it wrestles with questions of life, liberty, and the pursuit of happiness, and strives to fulfill the ideals of Thomas Jefferson's words.</p>"
363,The Best American Short Plays 2006-2007,Barbara Parisi,0,9781557837479,$34.99,Hardcover,Applause Theatre Book Publishers,June 2010,"Performing Arts, Reference",,
364,Forced Passages: Imprisoned Radical Intellectuals and the U.S. Prison Regime,Dylan Rodriguez,0,9780816645619,$22.50,Paperback,University of Minnesota Press,January 2006,"Penology & Correctional Studies - General & Miscellaneous, Political Activism & Social Action, Prisons & Prison Life, Radical Thought, American Literature Anthologies",288," More than two million people are currently imprisoned in the United States, and the nation’s incarceration rate is now the highest in the world. The dramatic rise and consolidation of America’s prison system has devastated lives and communities. But it has also transformed prisons into primary sites of radical political discourse and resistance as they have become home to a growing number of writers, activists, poets, educators, and other intellectuals who offer radical critiques of American society both within and beyond the prison walls.&nbsp;</p>
 In <i>Forced Passages</i>, Dylan Rodríguez argues that the cultural production of such imprisoned intellectuals as Mumia Abu-Jamal, Angela Davis, Leonard Peltier, George Jackson, José Solis Jordan, Ramsey Muniz, Viet Mike Ngo, and Marilyn Buck should be understood as a social and intellectual movement in and of itself, unique in context and substance. Rodríguez engages with a wide range of texts, including correspondence, memoirs, essays, poetry, communiqués, visual art, and legal writing, drawing on published works by widely recognized figures and by individuals outside the public’s field of political vision or concern. Throughout, Rodríguez focuses on the conditions under which imprisoned intellectuals live and work, and he explores how incarceration shapes the ways in which insurgent knowledge is created, disseminated, and received.&nbsp;</p>
 More than a series of close readings of prison literature, <i>Forced Passages</i> identifies and traces the discrete lineage of radical prison thought since the 1970s, one formed by the logic of state violence and by the endemic racism of the criminal justice system.&nbsp;</p>
 Dylan Rodríguez is assistant professor of ethnic studies at the University of California, Riverside.</p>"
365,Selected Works,Ralph Waldo Emerson,0,9780395980750,$26.01,Paperback,Cengage Learning,April 2002,"American Essays, Women Authors - American (U.S.) - Literary Criticism, Feminism - History, 19th Century American Literature - Literary Criticism, American Literature Anthologies",504," The first book of its kind to pair the writings of Emerson and Fuller, this text plays a major role in illuminating the contributions of both men and women to American Transcendentalism. In addition to a generous selection of Emerson's essays, the complete text of Margaret Fuller's Woman in the Nineteenth Century, and a selection of Fuller's dispatches from Europe, the volume contains copious contextualizing footnotes and an excellent introduction. Readers also explore the struggles of both writers to change their views in response to political changes of the times.</p>"
366,Getting Home Alive,Aurora Levins Morales,0,9780932379191,$1.99,Paperback,Firebrand Books,December 1986,"Puerto Ricans - General & Miscellaneous, Women Authors - Literature Anthologies, Puerto Ricans - Life in America, Peoples & Cultures - American Anthologies, Feminism & Feminist Theory, Literature Anthologies - General & Miscellaneous, Jewish Literature An",213,"The authors are mother and daughter, feminists, radicals, Puerto Rican and American, Jewish. In this collection of essays, poems, and stories, they write about their search for identity, about growing up Jewish in a Catholic world, about their response to the Israeli invasion of Lebanon, and other subjects."
367,Twentieth-Century American Poetry,Dana Gioia,0,9780072400199,$107.95,Paperback,"McGraw-Hill Companies, The",December 2003,"Literary Criticism, Poetry",,
368,Plays and Playwrights 2009,Martin Denton,0,9780979485220,$26.75,Paperback,"New York Theatre Experience, Incorporated, The",February 2009,"Drama Anthologies, American Drama, American Literature Anthologies",384,
369,Through the Eye of the Deer: An Anthology of Native American Women Writers,Carolyn Dunn,0,9781879960589,$19.95,Paperback,Aunt Lute Books,September 1999,"American Literature Anthologies, General & Miscellaneous Literature Anthologies, Native American Folklore & Mythology, Anthologies, Native North American People",284,"By bringing together the voices of Native American women writers across time, regions, and tribes, this collection makes visible a dynamic tradition of women's wisdom and storytelling. From early legends to present-day fiction and poetry, this tradition emphasizes women's spiritual connection to the natural world and their contributions to tribal and familial community. Central to women's strength is the role of animal figures-Coyote, Owl, Beaver and Bear-who act as guides, helpers, and personal totems, appearing unexpectedly in the modern urban landscape as well as being a constant presence in nature.
 The work of more than forty authors appears in this volume, representing tribes and regions extending over most of the U.S. and parts of Canada. Among the authors included are Louise Erdrich, Joy Harjo, Leslie Marmon Silko, Paula Gunn Allen, Linda Hogan and Beth Brant, along with writers whose work appears here for the first time.</p>"
370,Asian American Studies: A Reader,Jean Yu-wen Shen Wu,0,9780813527260,$26.95,Paperback,Rutgers University Press,May 2000,"Asian American Studies - General & Miscellaneous, Peoples & Cultures - American Anthologies, United States History - Ethnic Histories",600," This anthology is the perfect introduction to Asian American studies, as it both defines the field across disciplines and illuminates the centrality of the experience of Americans of South Asian, East Asian, Southeast Asian, and Filipino ancestry to the study of American culture, history, politics, and society.</p>
 The reader is organized into two parts: ""The Documented Past"" and ""Social Issues and Literature."" Within these broad divisions, the subjects covered include Chinatown stories, nativist reactions, exclusionism, citizenship, immigration, community growth, Asia American ethnicities, racial discourse and the Civil Rights movement, transnationalism, gender, refugees, anti-Asian American violence, legal battles, class polarization, and many more.</p>
 Among the contributors are such noted scholars as Gary Okihiro, Michael Omi, Yen Le Espiritu, Lisa Lowe, and Ronald Takaki; writers such as Sui Sin Far, Bienvenido Santos, Sigrid Nunez, and R. Zamora Linmark, as well as younger, emerging scholars in the field.</p>"
371,Latinos in Lotusland: An Anthology of Contemporary Southern California Literature,Daniel A. Olivas,0,9781931010474,$20.00,Paperback,Bilingual Review/Press,April 2008,"Literary Collections, General",,
372,Daughters Of Decadence,Elaine Showalter,0,9780813520186,$27.95,Paperback,Rutgers University Press,August 1993,"American Literature Anthologies, Anthologies, Literary Movements",352,"At the turn of the century, short stories by--and often about--""New Women"" flooded the pages English and American magazines such as the Atlantic Monthly, Harpers, and the Yellow Book. This daring new fiction, often innovative in form and courageous in its candid representations of female sexuality, marital discontent, and feminist protest, shocked Victorian critics, who denounced the authors as ""literary degenerates"" or ""erotomaniacs.""
 This collection brings together twenty of the most original and important stories from this period. The writers included in this highly readable volume are Kate Chopin, Victoria Cross, George Egerton, Julia Constance Fletcher, Charlotte Perkins Gilman, Sarah Grand, Vernon Lee, Ada Leverson, Charlotte Mew, Olive Schreiner, Edith Wharton, Constance Fenimore Woolson, and Mabel E. Wotton.</p>
 As Elaine Showalter shows in her introduction, the short fiction of the Fin-de-Siecle is the missing link between the Golden Age of Victorian women writers and the new era of feminist modernism.</p>
 Elaine Showalter is a professor of English at Princeton University. She is the author of A Literature of Their Own, The Female Malady, and other books, and editor of Alternative Alcott, a volume in the American Women Writers Series (Rutgers University Press).</p>"
373,"American Tradition in Literature : With American Ariel, Vol. 2",George Perkins,0,9780073221533,$105.80,Hardcover,"McGraw-Hill Companies, The",October 2006,American Literature Anthologies,,
374,Best American Nonrequired Reading 2005,Dave Eggers,0,9780618570485,$30.95,Paperback,Houghton Mifflin Harcourt,October 2005,"Short Story Anthologies, American Literature Anthologies",370," The Best American Series First, Best, and Best-Selling</p>
 The Best American series has been the premier annual showcase for the country's finest short fiction and nonfiction since 1915. For each volume, the very best pieces are selected by a leading writer in the field, making the Best American series the most respected—and most popular—of its kind.</p>
 The Best American Nonrequired Reading 2005 includes</p>
 Daniel Alarcón  Aimee Bender  Dan Chaon  Daniel Clowes  Tish Durkin  Stephen Elliott  Al Franken  Jhumpa Lahiri  Rattawut Lapcharoensap  Anders Nilsen  Georges Saunders  William T. Vollmann  and others</p>
 Dave Eggers, editor, is the author of A Heartbreaking Work of Staggering Genius, You Shall Know Our Velocity!, and How We Are Hungry, and the editor of McSweeney's. He is the founder of 826 Valencia, a San Francisco writing lab for young people.</p>
 Beck, guest introducer, whose single ""Loser"" was instantly labeled an anthem for the slacker generation, is also known for his Grammy Award-winning albums Odelay and Mutations.</p>"
375,Sister Nations: Native American Women Writing on Community,Heid E. Erdrich,0,9780873514286,$14.92,Paperback,Minnesota Historical Society Press,March 2002,"Native North American Peoples - General & Miscellaneous, Women Authors - Literature Anthologies, Native American Studies - General & Miscellaneous, Native American Literature Anthologies, American Literature Anthologies, Native North American Peoples - Au",230,"This lively and accessible anthology of fiction, prose, and poetry celebrates the rich diversity of writing by Native American women today. Editors Heid E. Erdrich and Laura Tohe have gathered stories from across the nation that celebrate, record, and explore Native American women's roles in community. The end result is a rich and heartfelt tapestry that contains work by established writers along with emerging and first-time authors."
376,Asian-American Literature: A Brief Introduction and Anthology,Shawn Wong,0,9780673469779,$56.66,Paperback,Longman,January 1997,Peoples & Cultures - American Anthologies,400,"A historical overview introduces a selection of works by Hisaye Yamamoto, Bharati Mukherjee, Jessica Hagedorn, Cathy Song, Marilyn Chin, Woo Ping Chin, Yelina Hasu Houston, and others."
377,Black Silk: A Collection of African-American Erotica,Retha Powers,0,9780446676915,$23.21,Paperback,Hachette Book Group,February 2002,"Short Story Anthologies, African Americans - Fiction & Literature, Peoples & Cultures - American Anthologies, Erotica",356," Black Silk is filled with lush, sexy stories featuring heroines who are overwhelmingly in control of their love lives and unabashed about their libidinous appetites. The stories are written by the best Black American erotic authors.</p>"
378,The Best Plays Theater Yearbook 2007-2008,Jeffrey Eric Jenkins,0,9780879103668,$46.70,Hardcover,Limelight Editions,October 2009,"Drama Anthologies, American Drama, American Literature Anthologies",650," (Best Plays Theater Yearbook). Continuing a tradition that dates back to 1920, this beloved annual honors 10 new plays and musicals and three regional plays cited in the Harold and Mimi Steinberg New Play Awards and Citations competition. As always, The Best Plays Theater Yearbook includes a comprehensive collection of facts and figures about the year in United States theatre. The Best Plays of 2007-2008 were chosen from Broadway, Off-Broadway, and Off-Off-Broadway productions of new plays that opened between June 1, 2007 and May 31, 2008. Individual essays celebrate each work. The plays are: Adding Machine , by Jason Loewith and Joshua Schmidt; August: Osage County , by Tracy Letts; The Farnsworth Invention , by Aaron Sorkin; Dividing the Estate , by Horton Foote; Eurydice , by Sarah Ruhl; 100 Saints You Should Know , by Kate Fodor; The Receptionist , by Adam Bock; Rock 'n' Roll , by Tom Stoppard; The Seafarer , by Conor McPherson; Yellow Face , by David Henry Hwang. SPECIAL CITATION: Peter and Jerry , by Edward Albee.</p>"
379,"Damage Control: Women on the Therapists, Beauticians, and Trainers Who Navigate Their Bodies",Emma Forrest,0,9780061175350,$8.99,Paperback,HarperCollins Publishers,June 2007,"Women Authors - Literature Anthologies, Essays and Individual Humorists, American Literature Anthologies",304," Traditionally, women share their secrets with their hairdressers. But what about their manicurists, masseurs, chi gong teachers, and tattoo artists? In <b>Damage Control</b>, women wax poetic about the experts and gurus who help them love themselves, sharing stories of everything from friendships born in the make-up chair to the utter dismay of a truly horrible haircut.</p>
 Minnie Driver finally meets a Frenchman who understands her hair . . . and tries to teach her not to hate it.</p>
 Marian Keyes remembers the blow-dry that pushed her over the edge.</p>
 Francesca Lia Block tells the ugly story of the plastic surgeon who promised to make her beautiful.</p>
 Rose McGowan explains why it's harder to be depressed when you're glamorous . . . and shows how it takes a village to transform from mere mortal to movie star.</p>
 Witty and wise, <b>Damage Control</b> is an intimate, sometimes dark, look at our experiences with the professionals who pluck, prod, and pamper every inch of our bodies—and a reminder why we surrender ourselves to their (hopefully) very capable hands.</p>"
380,The Prentice Hall Anthology of Latino Literature,Eduardo del Rio,0,9780130266873,$106.60,Hardcover,Prentice Hall,August 1901,"Peoples & Cultures - American Anthologies, Hispanic & Latin American Literature Anthologies",544," <b>THE PRENTICE HALL ANTHOLOGY OF LATINO LITERATURE</b> is a collection of poetry and prose (short story and drama) by Latino authors of Mexican-American, Cuban-American, and Puerto Rican-American descent. The text focuses on Latino authors who were either born or raised in the United States and who write primarily in English. In this walk the text concentrates on works and authors who hove been forged fly a dual consciousness.</p>
 The text establishes its definition of the Latino/Latina author by using the following criteria: first, writers who can trace their ancestry to Spanish-speaking nations of the Americas; second, works produced by authors who have lived in the United States for a significant period of time; third, writers who come from one of the three groups that form the majority in population and literary production of Latino literature; and last, writers with a sense of duality regarding the English language. The text features readings with characteristics unique to Latino/Latina authors such as attention to family, a concern for home, a focus on cultural components such as music, food, and religion, and identity formation.</p>
 <b>The text includes the following features:</b></p>
<ul>
<li>32 readings/short stories, 38 poems and 9 plays by renowned writers such as Sandra Cisneros, Luis Valdez, Cristina Garcia, Oscar Hijuelos, Judith Ortiz Cofer, and Esmeralda Santiago that emphasize diversity as well as recurring themes.</li>
<li>Various exercises designed to explore style and comprehension as well as to compare and contrast the selections from different ethnic groups.</li>
<li>Brief survey of the three types of literature focused on in the text to provide further background of the culture.</li>
<li>Categorisation by both ethnic group and genre which allows teachers to focus on any or all components.</li>
<li>Glossary of Spanish terms for some of the more challenging plays.</li>
</ul>
 Overall, the text emphasizes the similarities and differences between the culture and literature of the three primary groups while also trying to emphasize the unique qualities and universal themes present in all of them.</p>"
381,The Norton Book of American Autobiography,Jay Parini,0,9780393046779,$26.01,Hardcover,"Norton, W. W. & Company, Inc.",March 1999,"Historical Biography - United States - General & Miscellaneous, American Literature Anthologies",711,"From Mary Rowlandson's story of her capture by Indians in the mid-seventeenth century to Mary Paik Lee's story of being a pioneer Korean woman in America at the beginning of the twentieth century, the autobiographical form has provided our most vivid, intimate glimpses of daily American life and self-understanding.
 In this groundbreaking anthology, respected writer and critic Jay Parini brings together an abundant selection from over three centuries of ""the democratic voice . . . discovering itself."" Here are the voices of the Founding Fathers and African American slaves; of transcendentalists and suffragists; of ancestors such as Frederick Douglass, Harriet Jacobs, Mark Twain, Henry James, Helen Keller, Zora Neale Hurston, Gertrude Stein, Ernest Hemingway, James Baldwin, and many others; and of a wide range of contemporaries, including Maxine Hong Kingston, Gore Vidal, Julia Alvarez, and Mark Doty.</p>
 The rich, continuous influence of autobiographical writing in our culture is clear, and as memoirs continue to fascinate readers, this invaluable anthology provides an essential guide to our foremost American literary tradition.</p>"
382,New Playwrights: The Best Plays of 2000,D. L. Lepidus,0,9781575252490,$19.95,Paperback,"Smith & Kraus, Inc.",January 2003,"Drama Anthologies, American Drama, American Literature Anthologies",311,
383,Xerophilia: Ecocritical Explorations in Southwestern Literature,Tom Lynch,0,9780896726383,$33.60,Hardcover,Texas Tech University Press,December 2008,"Literary Criticism - General & Miscellaneous, Techniques & Strategies in Environmental Conservation & Protection, American Literature - Regional Literature - Literary Criticism, Natural Literature & History, Environmental Conservation & Protection - Gener",264," The arid American Southwest is host to numerous organisms described as desert-loving, or xerophilous. Extending this term to include the region’s writers and the works that mirror their love of desert places, Tom Lynch presents the first systematically ecocritical study of its multicultural literature. By revaluing nature and by shifting literary analysis from an anthropocentric focus to an ecocentric one, Xerophilia demonstrates how a bioregional orientation opens new ways of thinking about the relationship between literature and place. Applying such diverse approaches as environmental justice theory, phenomenology, border studies, ethnography, entomology, conservation biology, environmental history, and ecoaesthetics, Lynch demonstrates how a rooted literature can be symbiotic with the world that enables and sustains it. Analyzing works in a variety of genres by writers such as Leslie Marmon Silko, Terry Tempest Williams, Edward Abbey, Ray Gonzales, Charles Bowden, Susan Tweit, Gary Paul Nabhan, Pat Mora, Ann Zwinger, and Janice Emily Bowers, this study reveals how southwestern writers, in their powerful role as community storytellers, contribute to a sustainable bioregional culture that persuades inhabitants to live imaginatively, intellectually, and morally in the arid bioregions of the American Southwest.</p>"
384,"The New Anthology of American Poetry: Volume I: Traditions and Revolutions, Beginnings to 1900",Steven Gould Axelrod,0,9780813531625,$36.05,Paperback,Rutgers University Press,March 2003,"Poetry, American Literature Anthologies, Anthologies",768," When completed, this three-volume anthology will be the most balanced, inclusive, and comprehensive anthology of American poetry ever published. <i>The New Anthology of American Poetry</i> is designed to become the standard text for college courses in American poetry, and it will also appeal to general readers who wish to explore the range and diversity of this literary form.</p>
 The series demonstrates how a succession of canons of American poetry have evolved, with certain poets silenced until the present day, while others who emerged and then faded are now ready to be retrieved. Readers will find more attention devoted to women poets and to artists from African American, Asian American, Latino, and Native American cultures than in any previous anthology. Readers will also encounter an extremely solid presentation of long-established writers. The anthology offers not just a unique and teachable selection of poets and poems, but also concise introductions to periods and styles, brief bibliographies of key primary and secondary texts, and critical selections on the art of poetry by the anthologized poets themselves.</p>
<p class=""null1"">VOLUME I: Traditions and Revolutions, Beginnings to 1900</p>
 Volume I begins with a generous selection of Native American materials, then spans the years from the establishment of the American colonies to about 1900, a world on the brink of World War I and the modern era. Part One focuses on poetry from the very beginnings through the end of the eighteenth century. The expansion and development of a newly forged nation engendered new kinds of poetry. Part Two includes works from the early nineteenth century through the time of the Civil War. The poems in Part Three reflect the many issues affecting a nation undergoing tumultuous change: the Civil War, immigration, urbanization, industrialization, and cultural diversification.</p>
 Such well-recognized names as Anne Bradstreet, Edward Taylor, Phillis Wheatley, Edgar Allan Poe, Herman Melville, Walt Whitman, Emily Dickinson, and Stephen Crane appear in this anthology alongside such less frequently anthologized poets as George Horton, Sarah Helen Whitman, Elizabeth Oakes-Smith, Frances Harper, Rose Terry Cooke, Helen Hunt Jackson, Adah Menken, Sarah Piatt, Ina Coolbrith, Emma Lazarus, Albery Whitman, Owl Woman (Juana Manwell) Sadakichi Hartmann, Ernest Fenollosa, James Weldon Johnson, Paul Laurence Dunbar, and—virtually unknown as a poet—Abraham Lincoln. It also includes poems and songs reflecting the experiences of a variety of racial and ethnic groups.</p>"
